Category,Permission,Description,Administrator,Owner,Editor,Coder,Viewer,Notes
Cases,Open case details,Read a case,Yes,Yes,Yes,Yes,Yes,
Cases,Create case,Add a new case,Yes,Yes,Yes,No,No,
Cases,Edit case,Change case name description or other metadata,Yes,Yes,Yes,No,No,
Cases,Delete case,Remove a case,Yes,Yes,Yes,No,No,
Cases,Link documents to case,Associate documents with a case,Yes,Yes,Yes,No,No,
Cases,Unlink documents from case,Remove document associations from a case,Yes,Yes,Yes,No,No,
Cases,View case attributes,See case attribute values,Yes,Yes,Yes,Yes,Yes,
Cases,Edit case attributes,Change case attribute values,Yes,Yes,Yes,No,No,
Cases,Create case attributes,Add new case attribute definitions,Yes,Yes,Yes,No,No,
Cases,Delete case attributes,Remove case attribute definitions or values,Yes,Yes,No,No,No,
Codebook and Codes,View codebook,See the list and hierarchy of codes,Yes,Yes,Yes,Yes,Yes,
Codebook and Codes,Create code,Add a new code,Yes,Yes,Yes,No,No,
Codebook and Codes,Edit code,Change code name description or color,Yes,Yes,Yes,No,No,
Codebook and Codes,Delete code,Remove a code,Yes,Yes,Yes,No,No,
Codebook and Codes,View code details,Open code information,Yes,Yes,Yes,Yes,Yes,
Codebook and Codes,Manage code attributes,Add edit or remove code metadata if used,Yes,Yes,Yes,No,No,
Annotations and Coding,View annotations,See coded segments and annotation details,Yes,Yes,Yes,Yes,Yes,
Annotations and Coding,Create annotations,Apply codes to text,Yes,Yes,Yes,Yes,No,Coder should be able to code
Annotations and Coding,Edit annotation notes,Change memo or note text on annotations,Yes,Yes,Yes,Yes,No,
Annotations and Coding,Delete annotations,Remove coded segments,Yes,Yes,Yes,Yes,No,
Annotations and Coding,View uncoded text,Read source text during coding,Yes,Yes,Yes,Yes,Yes,
Annotations and Coding,Filter or search annotations,Use coding filters and search tools,Yes,Yes,Yes,Yes,Yes,
Memos,View memos,See memo list and details,Yes,Yes,Yes,Yes,Yes,
Memos,Create memo,Add a memo,Yes,Yes,Yes,Yes,No,Coders often need analytic memos
Memos,Edit memo,Change memo title or contents,Yes,Yes,Yes,Yes,No,
Memos,Delete memo,Remove a memo,Yes,Yes,Yes,No,No,
Memos,Associate memo with objects,Link a memo to documents cases codes or annotations,Yes,Yes,Yes,Yes,No,
Reports,View reports pages,Open the reports area,Yes,Yes,Yes,Yes,Yes,
Reports,Create reports,Start a new report,Yes,Yes,Yes,Yes,No,Coders may need working reports
Reports,Edit report configuration,Change report filters sorts columns or options,Yes,Yes,Yes,Yes,No,
Reports,Delete reports,Remove saved reports,Yes,Yes,Yes,No,No,
Reports,Export reports,Export reports to HTML PDF DOCX or similar,Yes,Yes,Yes,Yes,No,
AI Assist General,View AI Assist home,Open AI Assist status and home screen,Yes,Yes,Yes,Yes,Yes,
AI Assist General,View AI Assist tools,See AI Assist tools beyond home,Yes,Yes,Yes,Yes,Yes,Can also be conditioned on project AI Assist being enabled
AI Assist General,Enable AI Assist for project,Turn project AI Assist on or off,Yes,Yes,Yes,No,No,
AI Assist General,Build embeddings,Start project embedding generation,Yes,Yes,Yes,No,No,
AI Assist General,Delete embeddings,Remove project embeddings,Yes,Yes,Yes,No,No,
AI Assist General,Use AI chat,Ask project grounded AI questions,Yes,Yes,Yes,Yes,Yes,
AI Assist General,Use AI coding tools,Use AI assisted coding workflows,Yes,Yes,Yes,Yes,No,
AI Assist General,Use AI attribute tools,Use AI attribute identification workflows,Yes,Yes,Yes,Yes,No,
AI Assist General,Use AI analyze tools,Use AI analysis outputs and prompts,Yes,Yes,Yes,Yes,No,
AI Assist General,Use AI process documents,Use transcript or document processing workflows,Yes,Yes,Yes,No,No,This may be limited to stronger roles because it creates new project assets
AI Assist Outputs,Save AI generated outputs,Persist generated results or review changes,Yes,Yes,Yes,Yes,No,
AI Assist Outputs,Edit AI generated outputs,Modify reviewed AI outputs before saving,Yes,Yes,Yes,Yes,No,
AI Assist Outputs,Export AI generated outputs to project,Turn processed outputs into project documents or data,Yes,Yes,Yes,No,No,
AI Assist Outputs,Delete AI generated outputs,Remove generated or review items,Yes,Yes,Yes,No,No,
AI Assist Outputs,Review processed documents,Open the processed document review queue,Yes,Yes,Yes,Yes,No,
AI Assist Outputs,Approve processed documents,Mark processed outputs as accepted for project use,Yes,Yes,Yes,No,No,
Application and Device Administration,Open App Settings,Access app level settings pages,Yes,Yes,Yes,Yes,Yes,Some subsections can still be role limited
Application and Device Administration,Change startup or session settings,Modify app startup and session behavior,Yes,No,No,No,No,Device level behavior should stay admin only
Application and Device Administration,Manage LLM connection settings,Edit Ollama or local model connection settings,Yes,No,No,No,No,
Application and Device Administration,Download embedding model,Download model files to the device,Yes,No,No,No,No,
Application and Device Administration,Delete embedding model,Remove model files from the device,Yes,No,No,No,No,
Application and Device Administration,View local users,See registered local users on the device,Yes,No,No,No,No,
Application and Device Administration,Delete local users,Remove local users from the device,Yes,No,No,No,No,
Application and Device Administration,Clear local app data,Wipe app data cache or storage on the device,Yes,No,No,No,No,
Application and Device Administration,View licensing and about info,Open release license and about information,Yes,Yes,Yes,Yes,Yes,
System and Safety,Bypass read only protections,Perform actions reserved from read only roles,Yes,Yes,No,No,No,
System and Safety,Perform permanent delete actions,Execute irreversible deletion flows,Yes,Yes,Yes,No,No,
System and Safety,Export sensitive content,Export project content outside the app,Yes,Yes,Yes,Yes,No,
System and Safety,Manage backups and restores,Control backup creation and restore operations,Yes,Yes,No,No,No,
